"_id","Код","Тип","CR","CR2","Описание","Дополнительная информация","Приоритет","Спринт","Номер фикса","Очередь разработчика","Очередь тестировщика","Плановая дата окончания работ","Вошло в сборку","Jira done","JIRA","Потребитель","Поставщик","Статус паспорта","Оценка на анализ","Оценка на разработку","Оценка на тестирование","Аналитик","Дата паспорта","Статус разработки","Дата разработки","Разработчик","Задача разработчика в JIRA","Статус тестирования","Дата тестирования","Примечания по тестированию","Статус разработки скрипта","Автор скрипта","Тестировщик","Группа тестов","Тестовое покрытие","Статус бизнес сервиса","WSDL url","Cервис"
"b876fe5f-e999-432c-aabb-8f3a2019c1d7","BS103","Cancel","","","получение задач для CRM от МССМ и передача их в CRM",,"Критично",11,,,,,,,"","","","Отменён",,,,"Тоня","","","","","","Отменен",,"","","","","","","",,
"4bd41e1f-91ea-48c6-91ba-f311dbd4b50e","BS122","Cancel","","","Оплата налогов и платежи в бюджетные организации",,"","",,,,,,,"","","","Дубликат BS37",,,,"Даша","","","","","","Отменен",,"","","","","","","",,
"0210f34c-8883-48ca-acae-d200eaf3a54a","BPM","Доработка","CR076","","[ESB] Поддержать функциональность DataSteward - упрощенный вариант к пилоту",,"","",,,,,,,"DEV-1322","","","Реализовано в рамках CR059",,,,"Влада","","","","","","",,"","","","","","","",,
"4161d03b-64b1-4c61-b7fc-33e0f200f011","Бизнес-процесс","Доработка","","","переключение на DQ",,"Критично",14,,,,,,,"DEV-653","","","Согласовано",,,,"Влада","","Готово","","Сергей Черноляс","OTPSOADSVIDEV-1286","Готово",,"BS2 23 и 18 сиары","Готово","Комовникова","Комовникова","","","",,
"a46a02d9-b39c-41e8-8e19-c8f9da5414f0","BS179","Сервис","","","Получение списка валютных счетов",,"","",,,,,,,"DEV-865\392","","","BS25",,,,"Тоня","","","","","","Не передан в тестирование",,"","","","","","","",,
"ab659285-9ddf-4ce6-af0f-b7fa6acace3d","BS182","Cancel","","","DEV-142 [ESB] Оплата услуг - А3",,"","",,,,,,,"DEV-1674","","","отменен",,,,"","","","","","","Отменен",,"","","","","","","",,
"79dd8337-aa77-42df-80d1-aea52bd2c39e","BS180","Cancel","","","[ESB] ЗОД: Авто-блокировка кредитных и расчетных лимитов в АБС и ТМ при возникновении просрочки (на Х-ый день просрочки)",,"","",,,,,,,"DEV-61","","","Дубликат BS136 (BS168)",,,,"","","","","","","Отменен",,"","","","","","","",,
"5f93a747-f686-4a06-91ff-cd747a0bc4fd","BS067","Доработка","CR111","","Поля CITIZENSHIP и BIRTHPLACE перенесены в блок DOCUMENT",,"Критично",17,,,,,,,"DEV-2082","BS2","","Согласовано",,,,"Влада","","Готово","2015-02-17T00:00:00.000Z","Доржинов П.","https://jira.neoflex.ru/browse/OTPSOADSVIIDEV-41","Готово",,"Тестирование через BS2","Готово","Комовникова","Комовникова","","rfhUtil","","очередь",
"af7cd02e-ca2e-40c1-a465-4c20809f0ce9","BS047","Сервис","","","Завершение задачи в BPM",,"Критично",7,,,,,,,"DEV-546","CRM ","BPM, AppDB","Отложено",,,,"Ира ","","","","","","Отложен",,"","","","","Client Interation","","","http://m018esb-st:7802/nova/adpcrmoutsync","closeHumanTask"
"4c4cba17-813c-4fc6-bd2b-8c3426d9814e","BS189","Cancel","","","Проверка возможности конвертации ККЛ в ПК и получение финансовой информации",,"","",,,,,,,"DEV-996","ДБО","АБС","Дубликат BS169",,,,"Даша","","","","","","Отменен",,"","","","","","","",,
"e4b98382-894d-4532-805e-c840030ec8a6","BS187","Cancel","","","DEV-418 MCCM: Интеграция Interact с AppDB для подтягивания скора по брошенным заявкам (AppDB)",,"","",,,,,,,"DEV-489","","","Дубль (Реализован как CR073)",,,,"Влада","","","","","","Отменен",,"","","","","","","",,
"893e328b-c66b-416f-b6ff-d0b0c5cb77bf","BS107","Cancel","","","Сохранение обещанного платежа от CRM или ДБО (сохранение результатов коммуникаций)",,"критично","",,,,,,,"DEV-843","CRM, ДБО","MCCM","Дубль (BS206)",,,,"Влада","","","","","","Отменен",,"","","","","","","",,
"d6a3044e-d903-4dd4-ac74-6ab001eae10a","BS105","Сервис","","","Массовая рассылка уведомлений через Email-шлюз",,"Низкий",16,,,,,,,"DEV-501","ESB","ExpertSender, FTP банка","Согласовано",,,,"Настя","2015-01-29T00:00:00.000Z","Готово","2015-02-09T00:00:00.000Z","Волобоев П.","","Готово",,"Обработка ошибок полностью не проверялась","Готово","Киршина","Данченко","","scheduler","","scheduler (SFTP)","sendMassMail"
"6cbd019d-61b6-4267-a3f7-a198fe23e35f","BS171","Cancel","","","Удаление подписчика из рассылки",,"","",,,,,,,"DEV-821","МССМ","Expert Sender ","Дубль (Объединён с BS181)",,,,"Настя","2015-01-26T00:00:00.000Z","","","","","Отменен",,"","","","","","","","scheduler","StopEmailService"
"8ff52eea-7f1b-4398-87ab-fe77e787c79e","BS194","Cancel","","","[ESB] Передача данных в ПЦ из АБС по итогам ЗОД",,"",16,,,,,,,"DEV-662","","","Отменен",,,,"Даша","","Отменен","","","","Отменен",,"","Отменен","","","","","Инверсия будет самостоятельно делать выгрузку в TM",,
"17aa18d0-179d-47df-acc7-e241f12a4a5c","BS025","Доработка","","","DEV-280 [ESB] Информация по депозитным счетам, история операций",,"",0,,,,,,,"","","","",,,,"","","","","","","Готово",,"","","","","","Покрыто в CR","","http://m018esb-st:7803/AdpISimpleOutSync/AdpISimpleOutSync И http://m018esb-st:7802/nova/adpcrmoutsync","accountList И getAccountList"
"bc94d45d-621d-472f-8dd5-0d0fe6c6205b","BS236","Сервис","","","Остановка sms-коммуникаций",,"",18,"sprint18_v1",,,,,,"DEV-2045","","","Согласовано",,,,"Даша\Настя","2015-03-12T00:00:00.000Z","Готово","2015-03-24T00:00:00.000Z","Басурин М.","https://jira.neoflex.ru/browse/OTPSOAOUTIXDEV-403","Готово",,"","Готово","Беззубов","Беззубов","","<eventParam>","","sheduler (SFTP)","Method962(stopCommunication)"
"8180c436-e807-46fe-963f-0caacae744cd","BS125","Hold","","Релизная","Регистрация заявки на активацию услуги ""кредитные каникулы""","","",20,,,,,,,"DEV-671","","","Ждем АБС",,"16h","16h","Даша",,"",,"","https://jira.neoflex.ru/browse/OTPSOAOUTIXDEV-140","Не передано в тестирование",,"","","","","","","",,
"ba12c6a8-fd59-4e79-b930-4f888f44d20e","Hodoop/FICO","Доработка","","","Необходимо доработать nbr.war ",,"Критично",16,,,,,,,"","","","Согласовано",,,,"Стас","2015-02-03T00:00:00.000Z","Готово","2015-02-05T00:00:00.000Z","Дубинина Н.","","Готово",,"","ТС не нужны","","Данченко","","","Для вызова collection нужно доработать nbr.war следующим образом:

к 
 new VersionalbeServiceConfiguration(""C:\\delivery\\rules"", ""101"", 5),
 new VersionalbeServiceConfiguration(""C:\\delivery\\rules"", ""102"", 5),
 new VersionalbeServiceConfiguration(""C:\\delivery\\rules"", ""103"", 5),
 new VersionalbeServiceConfiguration(""C:\\delivery\\rules"", ""104"", 5)
добавить
 new VersionalbeServiceConfiguration(""C:\\delivery\\rules"", ""105"", 5),
 new VersionalbeServiceConfiguration(""C:\\delivery\\rules"", ""201"", 5),
 new VersionalbeServiceConfiguration(""C:\\delivery\\rules"", ""202"", 5)

+ присваивание entryPointID в зависимости от callID:
105: custManagement
201: collectionCRE
202: collection
",,
"3d033c3b-36fd-48ea-8b13-d26c4ef5f4a8","BS010","Cancel","CR047","","Доработка получения данных ФМС",,"",15,,,,,,,"DEV-978","","","Реализована аналитика, разработка в рамках CR067",,,,"Влада","2014-12-19T00:00:00.000Z","Отменен","2015-01-20T00:00:00.000Z","Не определен","https://jira.neoflex.ru/browse/OTPSOADSVIDEV-888","Отменен",,"","Готово","Комовникова","","","Покрыто в CR","","http://m018esb-st:7800/AdpBPMOutSync","makeIntegrationRequest"
"ac663bf1-d3c5-4365-8ea3-fd7c30b1fd9e","BS124","Сервис","","","Регистрация в программе лояльности, отказ от участия в программе по инициативе клиента",,"",25,,,,,,,"DEV-672","","","Нет спецификаций",,,,"Тоня","","","","","","Не передан в тестирование",,"","","","","","","",,
"110ec483-8fd1-4f83-9a52-193a5f53d71e","BS181","Сервис","","","Остановка   рассылки e-mail сообщений",,"Низкий",16,,,,,,,"DEV-821","MCCM","Expert Sender, ResponseDB","Согласовано",,,,"Настя","2015-01-30T00:00:00.000Z","Готово","2015-02-09T00:00:00.000Z","Волобоев П.","OTPSOADSVIDEV-650","Исправление дефектов",,"OTPSOADSVIDEV-2200","Готово","Киршина","Беззубов","","scheduler","","scheduler","DeleteReciepent"
"a84699bb-1e0a-4b55-a4a2-6ca266e74270","BS050","Cancel","","","Открытие депозита",,"",8,,,,,,,"","BPM","АБС","Отменен",,,,"Ира ","","","","","","Отменен",,"","","","","Financials","","",,
"0ac61b99-53b8-4bc7-b8f2-a97fee08fccc","BS013","Доработка","CR043","","Передача поля generalType",,"",13,,,,,,,"DEV-140","BPM","AppDB, iSimple","Согласовано",,,,"Влада","","Готово","2014-12-16T00:00:00.000Z","Волобоев Павел","https://jira.neoflex.ru/browse/OTPSOADSVIDEV-944","Готово",,"","Готово","Комовникова Екатерина","Комовникова","","Покрыто в CR","","http://m018esb-st:7800/AdpBPMOutSync","makeIntegrationRequest"
"03c3c036-5ca7-4035-ac8b-e7b153aadaf1","BS214","Сервис","","","Иземенение клиентских данных",,"",25,,,,,,,"","","","",,,,"Влада","","","","","","Не передан в тестирование",,"","","","","","","",,
"3b4873fe-e388-455d-8424-4650fa3f817a","BS215","Сервис","","","Редактирование клиентсвких данных",,"",25,,,,,,,"","","","",,,,"Влада","","","","","","Не передан в тестирование",,"","","","","","","",,
"087eae5f-4899-40af-91e8-6c676c83f152","BS152","Сервис","","","Мультикарта - Регистрация карт в системе, подключение и отключение сервиса",,"",20,,,,,,,"DEV-975","","","",,,,"Юля","","","","","","Не передан в тестирование",,"","","","","","","",,
"abaa0c0e-25e9-4e45-9f70-24103ff7a3cb","BS153","Сервис","","","Мультикарта - Управление приоритетами обработки транзакций",,"",20,,,,,,,"DEV-360","","","",,,,"Юля","","","","","","Не передан в тестирование",,"","","","","","","",,
"bb0ed372-ae52-4d81-9402-7ae4d2469b86","BS219","Сервис","","","[ESB] PUSH оповещения по операциям и транзакциям",,"",20,,,,,,,"DEV-674","","","",,,,"Юля","","","","","","",,"","","","","","","",,
"8b41b602-a22c-4f85-a4a0-d14014ef0792","BS042","Доработка","","","Получение истории коммуникации по клиенту",,"",25,,,,,,,"DEV-1973","CRM","CommunicationDB","",,,,"Настя","","","","","","",,"","","","","","","","http://m018esb-st:7802/nova/adpcrmoutsync","getClientCommunications"
"ee2e3a07-11d7-4ad2-9b3c-2301818303b3","BS216","Сервис","","Релизная","Остановка коммуникаций в Dialer и CRM","текущая(18-19) ветка","",20,"sprint20_v1","1",,,,"Jira done","DEV-406","MCCM","CRM, Dialer","Согласовано",,"32h",,"Даша","2015-05-05T00:00:00.000Z","Готово","2015-05-26T21:00:00.000Z","Волобоев П.","https://jira.neoflex.ru/browse/OTPSOAOUTIXDEV-267","",,"","","","","","","","scheduler (SFTP)","StopCommunication"
"76a876b8-993c-4cdc-ab15-292d1bd836dc","BS218","Cancel","","","Интеграция с JasperServer",,"","",,,,,,,"DEV-1041","","","Дубль BS238",,,,"Влада","","","","","","Отменен",,"","","","","","","",,
"a9433245-89ef-4220-bbc7-341c89ec9576","BS129","Доработка","CR064","","[ESB] Интеграция MCCM с E-Mail в части загрузки откликов",,"",16,,,,,,,"DEV-507","MCCM","CommunicationDB","Согласовано",,,,"Настя","2015-01-20T00:00:00.000Z","Готово","2015-01-31T00:00:00.000Z","Волобоев П.","","Готово",,"OTPSOACRIIIDEV-416","Готово","Беззубов","Беззубов","","Необходимо добавить","","http://m018esb-st:7800/NotificationIntegrationService","sendEsMessage"
"7575b6ce-72c9-44e6-af82-b6b3397d1cde","BS143","Доработка","CR069","","Необходимо добавить ограничение по количеству обращений в БКИ, поставить условие, что если файко назначает более 10 походов в БКИ, то необходимо завершать работу сервиса с ошибкой",,"",16,,,,,,,"DEV-1913","","","Согласовано",,,,"Влада","2015-01-23T00:00:00.000Z","Готово","2015-01-28T00:00:00.000Z","Сураева Н.","https://jira.neoflex.ru/browse/OTPSOADSVIDEV-1409","Готово",,"не тестировался, был проверен бизнесом","","","","","scheduler","","scheduler","batchOrigination"
"9572741e-e221-4cff-b30b-1bcce6537e07","BS191","Сервис","","","Получение откликов по email",,"",16,,,,,,,"DEV-507 ","","","Согласовано",,,,"Даша","2015-01-28T00:00:00.000Z","Готово","2015-01-29T00:00:00.000Z","Дюба Е.","https://jira.neoflex.ru/browse/OTPSOADSVIDEV-1362","Заблокировано",,"слетели сертификаты, ждем банк","Готово","Киршина","Комовникова","","sheduler","","scheduler","emailStatus"
"962b20e2-6ab7-420c-903b-0732d99651cd","BS071","Cancel","","","Онлайн-зачисления через СПП",,"Критично","",,,,,,,"","АБС","ПЦ","Отменен (BS54)",,,,"Даша","","","","","","Отменен",,"","","","","","","",,
